Name,Description,Average Score,Number of Reviews
How We Came To Live Here,"From the back cover:
&quot;HOW WE CAME TO LIVE HERE is a story-telling game which evokes the myths and legends of the Native American people. Within the game, characters must navigate their own ambitions and desires, the conflicting demands of their fellow villagers, and the ever-present threat of monsters and natural disasters from outside: your own ambition could lead you down a path of corruption.&quot;",7.83333,12
Hunter Planet,"The All Australian Role Playing Game.

Hunter Planet is a humorous Australian RPG &quot;wholly created and produced in Australia.&quot; It was first released in December 1985, with a second edition released in &quot;1987 &amp; 1987&quot;. The Players take the role of alien hunters, enjoying the dangers and delights encountered hunting on a newly discovered Hunter Planet, named &quot;Dirt&quot; by its local, semi-intelligent inhabitants.  Yes, &quot;Dirt&quot; is known more commonly as &quot;Earth.&quot;

The second edition of the game was available in a bound set called &quot;The Hunter Planet Executive Pack.&quot; It contained the core rulebook, Sindee sourcebook/adventure, character sheets, two &quot;Hunter Planet Possibilities&quot; and a wrap-around red CMs screen.  The Sindee book was also available independently.",8,1
Hunter: The Reckoning,"Hunter: The Reckoning is an RPG in the World Of Darkness setting published by White Wolf Game Studio. Players take on the role of Hunters, humans imbued iwth powers to fight supernatural evil.",6.57377,61
Hunter: The Vigil,"A Candle in the Darkness
The scales have fallen from your eyes. A fire is lit: is it a lamp perched over the inscription upon an ancient blade? Or a roaring conflagration consuming the house in which the howling fiends wait? Things will never be the same after this. You&rsquo;ve set forth on a damning path. Carry the Vigil. Fight back the shadows.

Rulebook for Hunter: The Vigil
This book includes:
- A rulebook for playing hunters, those humans who have seen the truth of the World of Darkness and are spurred to action.
- A many-faced Vigil for many types of hunter: characters might choose a path of violence, of investigation, or even of rehabilitation. Decipher mysteries and confront the horrors.
- Provides new player types and antagonists for crossover- intensive chronicles as well as those chronicles focused only on hunters.",7.38393,56
Hyborian War,,,
Hyperborea,"Publisher's description:

HYPERBOREAN MICE is a role-playing game of grim Swords &amp; Sorcery action... as portrayed by talking mice and rats.

The ancient White Lords, albino mice with magical powers, rule over the valley of Hyperborea, but their empire is crumbling. Barbarian rat tribes, deadly predators and political intrigue threaten to bring their mousy civilization to an end.

Terrible predators like foxes and owls take the place of giants and dragons. Voracious shrew clans raid the Fallows, seeking mice and rats to fill their larders. Centipedes scuttle beneath the underbrush, seeking prey. Hawks force the inhabitants to stay under cover during the day, while owls stalk the sky at night. The system includes rules for dangerous predators such as shrews, foxes and weasels, as well as less offensive creatures like crows and pigeons.

Legendary horrors stalk the land, unique predators with potent magical abilities of their own. The terrifying Mocker, a centipede whose only voice is the imitated cries of his victims. The serpent Ssaaa gathers a cult of worshipers to do her bidding in the valley. And no mouse dares stand against dread Hoorooru, the ancient ruler of Rookswood and the enemy of the gods.

Play a Royal Mouse, White Mouse, Common Mouse, Jumping Mouse, White Rat, Common Rat or even one of the brutish Wild Rats. Your character might be a lowly commoner or even an outcast... or a wealthy noblemouse of high standing.

HYPERBOREAN MICE uses a simple stat+skill+2d6 system that supports multiple levels of success, different critical success results for different weapons, and an original magic system focused around six different magical arts and four levels of spell effects. There are dozens of combat and non-combat non-magical powers for characters to take and rules governing conflicts between creatures of vastly different sizes.",4,2
"If I Were a Lich, Man","From the Kickstarter:

If I Were a Lich, Man is a trilogy of funny Jewish roleplaying games about creative resistance against authoritarianism. The villains in the stories of our oppressors become the heroes in our play.

Written and illustrated by a team of avant-garde Jewish designers.

Recommended for fans of What We Do in the Shadows, Russian Doll, and Young Frankenstein.",5.5,2
I'm Sorry Did You Say Street Magic,"Publisher blurb:

i'm sorry did you say street magic is a citybuilding storygame, where players collaboratively explore a city that they create together. Each turn, a player adds to the city either a Neighborhood, a Landmark, or a Resident, nesting cards inside of each other to showcase and spotlight the relationship between the city's inhabitants, and the places where they live. These cards are then complicated by Events that take place in the city: festivals, elections, ceremonies, natural disasters, mysteries, or discoveries that change the flow and focus of play. As you play cards, you unearth the city's true names &mdash; quirks and qualities that make this place wholly, intrinsically unique.",7.66667,9
Immortal: The Invisible War,"This is the 1st edition core book for Immortal The Invisible War.

From the back cover:

&quot;Even legends cannot sleep forever. You were there...

When the Sanguinary fled the crucible...
When the Sphinx was not stone but flesh...
When Paris slew Achilles before Troy...
When Arthur wept, betrayed...

You Knew...

The force that compelled Jack's knife in London...
The painter, Adolph, who set out to &quot;purify&quot; the world...
The sniper whose bullet claimed Kennedy's life in Dallas...

Then you took a long walk into forgetfulness...
and things have only gotten worse.

It's wake up time. The age of innocence is ended. Immortal personas everywhere are waking up to a new experience in role playing unprecedented in any previous gaming system. Merlin, Hercules, Marilyn Monroe, these and many other figures of legend are very much alive...influencing affairs in the mortal Habitat just as they have for millennia past.

YOU are the fabric of legend. Now the time has come to shed mortal illusion and resume your place in Perpetual Society to awake and rediscover your secrets of your own fantastic past.&quot;",5.44444,9
In Dark Alleys,"From the back of the book:

If you look down the wrong alley in the middle of the night, you may see something happening which is terrible, inexplicable, alien.  If you are like most, you will keep driving and try to forget what you've seen.

Yet some pain or hunger inside you may drive you to turn back, to try to gain another glimpse.  You may spend sleepless nights peering down dark alleys, reading heretical texts, performing strange rituals, exploring abandoned places, trying to grasp the sensations that squirm at the back of your mind.  ALong the way you will discover that you are developing incredible and dangerous powers.

And there will come a day when you catch a glimpse of something that sees you looking at it, that realizes that you know things that you're not supposed to know.  And without a word it will rush at you...


     A complete game - no other products needed to play.
     Play &quot;the Touched,&quot; those who have gained incredible power by peeking behind the curtain of this reality.
     A unique, full detailed horror cosmology.
     Los Angeles detailed as a default campaign setting.
     Two complete introductory adventures.",8,3
In Nomine,"In Nomine is a modern roleplaying game in which the players take the part of celestial beings - angels and demons - as they struggle for control of humanity and themselves. The celestials, powerful though they may be, are merely pawns in a much larger game being played by their Superiors, the Archangels and Demon Princes.

---

They are very much like us.

Some seek to do good, others corrupt and destroy. Some set out to do one thing, but accomplish another.

Some are fiercely devoted to their work. Some doubt that they really make a difference. And some wonder, in the small hours of the night, if they picked the right side.

They have great powers, for good and evil, but they are merely pawns of greater powers still.

They are very much like us.",6.80262,61
In Nomine Satanis / Magna Veritas,"User Summary:

The second edition of INS/MV is a hardcover book. The game background homogeneously includes all the elements previously published in expansion books and the rules have been streamlined.

The book includes a description of the game universe, the rules system, two chapters about character creation (one for angels and one for demons), a list of Archangels and Demon Princes, a detailed list of powers, and eight scenarios (four for each faction): &quot;Une de perdue, tu l'as dans le c.. !&quot;, &quot;Les contes d'ap&eacute;ro&quot;, &quot;Subway&quot;, &quot;Faut pas &ecirc;tre Mickey &agrave; Eurodisney&quot;, &quot;Boum Boum La Guerre!&quot;, &quot;Les esquimaux vont au cin&eacute;ma pour se faire sucer&quot;, &quot;C'est en smurfant qu'on devient schtroumpferon&quot; and &quot;Cette mission, si vous l'acceptez...&quot;",7.2,5
Incursion,"publisher blurb

Long before recorded human history, the Earth was discovered by alien travelers known as the Anshani. Gentle in their ways, and with an incredible level of technology, they expanded their interstellar empire across this Galaxy. Welcoming many into 
their fellowship, they nonetheless had a few requirements for
admission. Upon discovering the Earth, they stationed a Sentinel Drone in the Sol System to protect developing humanity from outside interference, and from the more warlike races who traveled the stars, until Earth was technologically ready for contact.The Anshani held the galaxy in peaceful coexistence 
for many millennia, and then mysteriously vanished, leaving
behind a galaxy in chaos. As interstellar empires rose and 
fell, humanity developed in a safe harbor in a sea of
crumbling interstellar chaos, protected by a sentinel that 
watched and waited.
 Now, as you begin the fight of your life, you realize there is no turning back.",5,1
Infernum,"From the intro:

&quot;You are in Hell.

For an eternity, there has been nothing in the Infernum except constant war and constant suffering. Those in power grind those beneath them into the burning dust, while those below plot and conspire to overthrow their masters and take their place and all bow before the might of the warring Houses. Now, there is dissent and opposition even against their might, as the Free Cities declare their independence and threaten the hegemony of the Houses.

War is coming to Hell. Anyone, even a mortal, could conquer the Pit and become a lord of the Infernum.

Infernum: Book of the Damned is the Player&rsquo;s book for the Infernum Roleplaying Game. In it you will find everything you need to start your adventures in Hell and begin working your way up the demonic ladder towards total domination.

Play as Mortal, Demon or Fallen Angel. Equip yourself with the latest infernal weaponry such as the flayer or hellcannon and trap a demon within your chosen tool of warfare. Develop and nurture your mutations as they twist your flesh and increase your demonic power. Feed from damned souls and bind other demons in unbreakable Covenants. Do unto others before they do unto you and remember...

Conquer or suffer. These are the only choices in the Infernum.&quot;",7.16667,6
Infinity,"User summary:

The game presents a surreal setting to the characters.  In most games, characters will not meet other characters but may interact with non-player characters.  The rules suggest these disparate adventures are best handled by the game master rapidly switching from one character scene to the next.  Action resolution is performed by opposed dice pool rolls; modifiers are potentially used and increase in significance as the game develops.",0,0
Inner City,"From inside the book,

Inner City is a contemporary role-playing game.  That is, the players in the game assume the roles of the characters in Inner City while playing.  In order to play this game, one of the players must assume the role of City Master, the referee of the game.  The City Master must, with the help of this rule book, pass arbitrary judgement upon the actions of the players in the game and the outcomes of these actions.  The other players imagine themselves as, or in other words, assume the roles of, people in a slightly alters modern-day city.  Generally speaking, the city of Inner City is what a man from another planet might expect of an average American city after watching several days of prime-time television.  Rampant violence, corruption, good cops, bad cops, villainous criminals, and organized crime are the mainstay of Inner City.  So!, be your favorite crook, cop, private investigator, or whatever, and above all have fun!

Contents:


     Inner City Rule Book (40 pp.)
     Game Map
     Set of Dice
     Sheets of Play Money",0,0
Inou Tsukai,,,
InSpectres,"Fighting the Forces of Darkness so you don't have to.

InSpectres is a game about the burgeoning supernatural investigation and elimination market. Start a company and try to stay afloat long enough to cash in those sweet, sweet stock options.

* Create and manage your own InSpectres franchise - can you keep it afloat?
    * Innovative mechanics make this investigation game actually fun to play
    * Influence the game using &quot;The Confessional&quot; - a first in RPG history!
    * Rules for &quot;weird agents&quot; - play a vampire, zombie, werewolf and more!",7.57355,138
Interstellar Elite Combat,"User summary:

The Interstellar Elite Combat rulebook covers the campaign setting, character creation, game mechanics, and combat rules. Also included is a introductory adventure.",3.5,2
Invisible Sun,"From the publisher's blurb: 

Invisible Sun is a game of secrets. And that is true of both the physical product and the in-world game as it is played. Hidden within the pages of the books, within the components of the game, and perhaps even within the box itself, lie clues to discover&mdash;clues that can unlock new secrets. Invisible Sun is as much about interacting with the physical game itself as it is about interacting with the other players. This is a game of deep immersion. Of escape.

Players create in-depth and intricate characters where the house in which they live is as important as their stats and skills. Character choices drive everything, with game rewards based on personalized story arcs, and emergent mechanics arising from not just from character creation, but from ongoing character development. However, in the end, it&rsquo;s not game mechanics that dominate gameplay, but roleplaying.

Player characters in Invisible Sun discover and utilize secrets. These secrets often involve the very nature of the universe, and those who master such secrets can change that nature. In common parlance, this is magic, and thus player characters are magicians and sorcerers called vislae. How they utilize their magic&mdash;casting spells, creating objects of great power, entreating with otherworldly spirits, or improvising effects by weaving together threads of power&mdash;is up to them. Character creation and customization are paramount, and no character concept is refused. In a game where everything is possible, it&rsquo;s never a matter of &ldquo;You can&rsquo;t do that,&rdquo; but &ldquo;How do you go about discovering the secret to do that?&rdquo;",9,10
Iron Kingdoms,"Publisher blurb:

Embark upon a journey of adventure and intrigue in a steam-powered world fueled by magic and contested with gunfire and steel. Armed with mechanika and accompanied by mighty steamjacks, explore the soot-covered cities of the Iron Kingdoms and the fell ruins of ancient powers.

This essential full-color guide to the award-winning Iron Kingdoms setting equips you with:

- A robust, elegant rules system crafted especially for the world of the Iron Kingdoms. This system builds upon the rules foundation of the critically acclaimed WARMACHINE and HORDES miniatures games to meet the complex needs of a roleplaying game.
- Rules for character creation and advancement that let you take on the role of iconic Iron Kingdoms characters like fell callers, field mechaniks, gun mages, warcasters, and more.
- Details on diverse playable races: humans, gobbers, Iosans, Nyss, ogrun, Rhulfolk, and trollkin.
- Crafting systems that enable you to explore the mysteries of mechanika and alchemy.
- A comprehensive overview of life in the Iron Kingdoms and the history of western Immoren.

A WORLD OF ADVENTURE AWAITS IN THE IRON KINGDOMS",7.58286,35
Ironhedge,"From the introduction:

Complete Quantum Role Playing System
Fun - Concise
Ironhedge Rulebook
Plus: 12 Character Cards &amp; 6 Encounter Cards
...
Ancient Fantasy Role Playing Adventure
...
Ironhedge Manifesto
...
Game of Swordfights, Thiefery, Magic, Treasure, Monsters, Power, &amp; Lawlessness
...
(Not For Idiots)

User summary:

Published Marne, MI, USA; $7.00 - includes cardstock-cover rulebook, 12 character cards, and 6 encounter cards",0,0
Iron Heroes,"This exciting new game of heroic combat action is for skilled heroes who have no need for magic swords or arcane trinkets.. Armed with their cunning, talent, and unmatched bravery, they wade sword first into a savage world of high-octane adventure. Iron Heroes, a variant player's handbook in the tradition of Monte Cook's Arcana Evolved, provides 10 new core classes, expanded feat and skill systems, a new magic paradigm, and much more. Use this exciting book to supplement an existing fantasy roleplaying game, or as a complete rules system unto itself.",6.45227,22
Ironsworn,"YOU ARE IRONSWORN

In the Ironsworn tabletop roleplaying game, you are a hero sworn to undertake perilous quests in the dark fantasy setting of the Ironlands. You will explore untracked wilds, fight desperate battles, forge bonds with isolated communities, and reveal the secrets of this harsh land.

THREE WAYS TO PLAY

Guided
One or more players take the role of their characters, while a gamemaster (GM) moderates the session.

Co-op
You and one or more friends play together to overcome challenges and complete quests. No GM required.

Solo
A GM is not needed. You portray a lone heroic character in a dangerous world. Good luck!

WHAT'S INCLUDED


     Quest-driven mechanics and fast, flexible character creation.
     Story hooks and creative prompts to eliminate game prep and push your adventures forward&mdash;with or without a GM.
     A setting guide for the Ironlands, a rugged and treacherous peninsula at the edge of the known world.
     Inspiring tools to customize your setting and fine-tune your game experience.
     Extensive advice, examples, and options for exploring the story of your characters and their fateful vows.


---

From back cover text.",8.29868,114
"It Came From The Late, Late, Late Show","An RPG parodying bad low budget monster movies, with the players being actors in each film. This 1st edition was a softback pamphlet.",6.88462,13
It Was a Mutual Decision,"From the back cover:

Whose fault was it? Anyone's? Who's the bad guy (or gal)? Either? Or both?

Is my lover really an inhuman, pest-ridden, murderous, shape-changing monster?

Don't pretend you never asked those questions.

Breaking up isn't hard to do -- but staying alive and sane might be a problem.

Welcome to a romantic excursion for Story Now play from adept Press.",7,1
Jadeclaw,"&quot;From the publisher:

Enter the world of Zhongguo, where Dragons and Phoenixes live among Cats, Rats, Dogs, and dozens of other races... Where the Celestial Bureaucracy governs not only the Noble Houses of Earth, but also the Heaven Court and even the weather itself... Where evil lurks in forgotten places, and ambition stirs in the hearts of the greedy and the wrathful... Where masters of the mystic martial arts make impossible feats look effortless... Where wizards conjure forth balls of fire, bolts of lightning, thunderstorms, or even changes to fate itself... Where adventure can be found from the uncharted wilderness, to the Forbidden City of Majing, and all places in between.

JADECLAW: Anthropomorphic Fantasy Role-Playing is a complete game in one volume. Create the character you want to play from the many Races and Careers of Zhongguo, or invent your own. Immerse yourself in martial-arts battles and spell-casting with a game system that is simple to learn yet endless in possibility. Experience the wonder of a fantastic kingdom where the destiny of a thousand years can be decided in an instant.

Jadeclaw is a role-playing game set in the same world as Ironclaw, in a far off kingdom called Zhongguo (lit: Mandarin for &quot;China&quot;), inspired by Chinese Mythology, where anthropomorphic fantasy creatures control the fates of both Heaven and Earth.

Jadeclaw is the successor to the Ironclaw RPG, and uses the same system. Changes include more &quot;traits&quot; (martial arts), and there are now non-mammalian &quot;races&quot;. There are now Birds, Reptiles (Snakes and Tortoises), and races from Chinese Mythology (such as Dragons). There are also some strange servitor races of insects (scorpions, centipedes, etc.), which are strictly NPC's (Non-Player Characters).&quot;

Source: Wikipedia, &quot;Jadeclaw,&quot; available under the CC-BY-SA License.",7.25,8
James Bond 007,"Enter the exciting and dangerous world of spies, high speed chases, gadgets, casinos, glamourous women, thugs, goons and villains scheming to rule the world. In the James Bond 007 RPG, you play a secret agent taking action against enemies of the free world. You can play James Bond himself, or any Agent or Rookie you create.

The game is especially designed to favour the players. After all, James Bond doesn't end the movie as the loser, does he? You cannot beat the bad dice rolls, but the GM is encouraged to balance the game in the players' favour.

The 160pg softback B&amp;W book is illustrated with drawings taken from the films and contains all you need to play. The core rules cover character creation, combat, gadgets, a good introduction to RPGs and the style of the game. There's advice for GMs, lots of NPCs straight from the films (Rosa Klebb, Karim Bey), MI6, info on casinos and international travel. The book also has a solo adventure to let new players practise the rules.

The feel is very strongly of the films, but you can easily use the content for any spy genre game.",7.69722,144
Jeremiah: The Roleplaying Game,,,
Jiangshi: Blood in the Banquet Hall,"Players take on the roles of a Chinese family running a restaurant in 1920s San Francisco. They must go through the challenges of running a restaurant, keeping the family morale up, while dealing with customers giving them a hard time. Nighttime holds another set of challenges &mdash; jiangshi (hopping vampires) come out and roam the streets in search of victims.

The tone of the game can vary from serious to dark comedy and can be played with 3-5 players with a GM.",8.125,4
"John Carter, Warlord of Mars","On the cover, beneath the title, the contents of the Handbook are described as: &quot;Painting Guide&quot;, &quot;Fictional Ethnic Descriptions,&quot; and &quot;Man-to-Man Action Rules.&quot;

Description from the Rulebook

Here is action with a single man or small group of men pitting their abilities, skills, and courage against other men or fearsome Beasts in settings from dank, poorly lighted underground dungeons to the swirling, desperate hand-to-hand battle raging on the deck of the flyer a thousand feet above the ground. The clash of naked steel. . .the test of manhood and courage. . .this is the essence of a life on Barsoom!

In these guides, flyer combat and army level conflict are included primarily to flesh out the adventure. They occur constantly on Barsoom, but Carter's manuscripts show these greater conflicts are merely the backdrop for the small personal adventure. It is for this kind of adventure that the man-to-man guides were developed.

This is not a game. We would like it very much if you did not consider it as such. Games have rules not guides and are often taken as the final word. Rules often become some kind of demented bible. This is a guide because it is designed to show you a pathway to adventure, a kind of glory road. It is a pathway, an outline, a suggestion. It is only something for you to construct your own adventures around. This is not a game, this is an adventure of the heart and mind.

We hope that you have fun with Barsoom. I am sure that you will.",8,1
Jorune,"The core rulebook of the third edition. It contains what the second editon had as separate books:

Chapter 1: Thauter Guide

Intro to the world of Jorune.

Chapter 2: Creating your Character

Part d20, part 3d6.

Chapter 3: Isho

The magical energies of Jorune created by the molten crystal below the planets crust.

Chapter 4: Combat

A quick and simple combat system.

Chapter 5: Sholari Guide

Everything the Sholari (GM) needs to know. Includes an intro adventure.

Note: The book had massive editorial errors (including whole pages of content missing or pages in the wrong order). An errata corrected those errors.",6.36364,11
Jovian Chronicles,"From the introduction:

The Jovian Chronicles is a complete science fiction universe for the Silhouette roleplaying game system. Inspired by classic science fiction stories and giant robot animations, this book will take the players beyond the confines of planet Earth to discover a solar system on the brink of war. Along the way, they will interact with a rich cast of characters, visit exotic locales and possibly alter the destiny of the Jovian Confederation, if not the human race!
Other than players, six-sided dice, paper and pencils, all that you need to play can be found in this book. In addition to the Chronicles historical, political and scientific background, it contains the Silhouette game rules for character generation, character action and vehicle combat that support the campaign. The book also contains pre-generated characters and vehicles, all ready to use in a roleplaying campaign.
Get ready to enter the twenty-third century and step into the world of the Jovian Chronicles. Are you up to the challenge?",7.23864,22
Judge Dredd: The Role-Playing Game,"&quot;MEGA-CITY ONE... 400 million people and every one of them a potential criminal. The most violent, evil city on earth... Join Judge Dredd and clean up the streets! YOU ARE THE LAW!&quot;

In this action packed role-playing game you get:


     the JUDGE'S MANUAL - containing everything you need to know to be a judge
     the GAME MASTER'S BOOK - containing everything the Gamesmaster needs to run the game
     a CUT-OUT CHARACTER SHEET featuring over 60 stand-up characters and vehicles to use in your game
     2 PLAY SHEETS for use with scenarios included in the game
     a set of polyhedral DICE for use in play


For 2 or more players age 12 to adult.

The latter hardbound version combined the above (minus the dice) into one volume with just a few corrections.",6.89216,51
The Judge Dredd Roleplaying Game,"From the back of the book:

&quot;I am the Law and you better believe it!&quot;

Welcome to Mega-City One, a city of over four hundred million people and everyone of them a potential criminal. Stretching the length of the 22nd century American eastern seaboard, Mega-City One is the most dangerous city on earth, for it is calculated that one serious crime takes place every second of every day. So dangerous, it demands a special breed of law enforcer. Here, there are no police, no trials and no juries - only the judges. It takes fifteen years to train a judge for life on the streets of Mega-City One. Fifteen years of iron discipline, rigid self-control and concentrated aggression. Toughest of all judges is Joe Dredd, a man vested with the power of instant sentence, a man whose court is the streets and whose word is the Law!",6.75,16
The Judge Dredd Roleplaying Game,"From the back of the book:

&quot;I am the Law and you better believe it!&quot;

Welcome to Mega-City One, a city of over four hundred million people and everyone of them a potential criminal. Stretching the length of the 22nd century American eastern seaboard, Mega-City One is the most dangerous city on earth, for it is calculated that one serious crime takes place every second of every day. So dangerous, it demands a special breed of law enforcer. Here, there are no police, no trials and no juries - only the judges. It takes fifteen years to train a judge for life on the streets of Mega-City One. Fifteen years of iron discipline, rigid self-control and concentrated aggression. Toughest of all judges is Joe Dredd, a man vested with the power of instant sentence, a man whose court is the streets and whose word is the Law!",6.75,16
"Justice, Inc.","&quot;Justice, Inc. is a role-playing game designed to simulate the adventure stories in the pulp magazines of the 1930s.

It was one of the first non-superhero applications of the point-based game system that had been developed for the Champions superhero game. The generalized point system would eventually be published as the Hero System.

Ad copy:

From the frozen tops of the Himalayas to the steamy jungles of the Amazon.  The pulps and serials live again in the action packed world of the '20s and '30s.  Justice, Inc. includes all the campaign information you need to give your game a &quot;period&quot; feel, we've even included a slang dictionary!  The game includes special rules for Weird Talents, Psychic Powers, and super-scientific gizmos.  Play the &quot;original&quot; Super Hero game.  Live the adventure with Justice, Inc.

User Note:
This boxed set contained two books: The main rulebook (96 pages) and the Justice Inc. Campaign Book (79 pages) with information on the setting. It also contained three dice.&quot;

Source: Wikipedia, &quot;Justice,_Inc._(role-playing_game),&quot; available under the CC-BY-SA License.

				
				
					From the prefaceWelcome to the world of pulp adventure! Justice Inc. takes you to the world of the 1920s and '30s, where you and your friends will experience the action and excitement of those times. Justice Inc. shows you how to experience different types of stories, including Horror, Adventure, Mystery, Espionage, Romance, Science Fiction, and more.

Justice Inc. is another game in the Hero System series; previous games include Champions (super hero role-playing) and Danger International (modern role-playing, formerly known as Espionage!). These games all use the same basic character creation and combat system; once you've learned how to play one of them, you know how to play all of them. So at certain places in these rules, you'll see reference to these other games. It isn't necessary for you to own Champions and Danger International in order to play Justice Inc., but if you want more material that you can use for Justice Inc. You should look into the rest of the Hero System series. More games will be coming out in the future.

The authors (that's use) hope you enjoy this game. We've put a lot of time and effort into this project, because we've enjoyed pulp stories for many years. We hope you'll find out why we love the pulps by playing Justice Inc.; that is, if you aren&rsquo;t one of the people who already loves the pulps. Come on, the adventure's about to begin!",7.73529,17
Justifiers,"From the Back of the Book:

You're a &quot;Beta&quot;, a Beta Class Humanoid Lifeform.

Part human and part animal. The property of the Corporation that spawned you.

Your job: Justification and Pacification of new worlds. Find exploitable resources and eliminate dangerous indigenous lifeforms.

Your goal: SURVIVE! Stay alive until you can buy your way to freedom. Till then your one of the... Justifiers.",5.5,6
KABAL,"User Summary

A collection of spells for the game Knights and Berserskers and Legerdemain.",3,1
Khaotic,"User Summary:

Combines elements of cyberpunk and transdimensional travel as the PCs project their minds into the bodies of monsters for research, exploration and ass-kicking.",6,1
Kids on Bikes,"Publisher's blurb:

Kids on Bikes is a collaborative world building RPG, set in small towns with big mysteries. The rules-light storytelling system designed by Jon Gilmour and Doug Levandowski gets players into the action fast.

The game's adventures take place in small towns at any point in history before everyone had a device that could catch video of a ghost, call 911 on a maniac, or research an old creaky house in seconds via their pocket computers. A more mysterious time, when anything and everything could happen in places that are remote enough that the rest of the world just doesn&rsquo;t care about it but close enough that black helicopters can be there within hours.

No matter your age, you can expect to work together as:


     school janitor and science nerd crew
     members of the cheer squad and the head cheerleader&rsquo;s little brother
     a ragamuffin crew of scrawny nerdy kids, the popular girl, the weird kid, and the town sheriff


No matter who you are, YOUR TOWN NEEDS YOU to figure out what the hell is going on.

Microbadge

 - Kids on Bikes RPG fan",7.4125,24
Kill puppies for satan,"From the Publisher's website:

kill puppies for satan is a roleplaying game. you pretend to be people who do just exactly what the title recommends. it's 32 pages of blasphemy, obscenity, profanity, not honoring thy father nor mother, and coveting thy neighbor's ass. or other pet.

in the game, when you kill a puppy (or other animal), you get points of evil. you spend your evil to do supernatural evil things, like start fires. there must be fifteen different ways to start fires with evil.

the system is minimal in the way that particularly irritates people who would rather be playing rolemaster or millenium's end. you have only six stats, for instance, and that's counting generously. one stat is how many people hate you. it takes about two minutes to make a character, longer if you need a calculator to add low single digit numbers.

the system isn't just small, it's also clever and flexible. in addition to the puppykillers, the main book includes rules for normal people, heroes, vigilantes, religious fanatics, space aliens (pretty much the pcs' only competition in the cattle mutilation department), sorcerers, ghouls, scientists, vampires, and demons, including a nice section on how to play lucifer himself as an npc.",6.6875,8
Killer: The Game of Assassination,,,
Kindred of the East,"Kindred of the East is a supplement to Vampire: The Masquerade and introduces the players to the world of Oriental vampires, which are very different to European Vampires. Highly praised as an excellent companion book and offering a different view of the motivations for roleplayers, the Oriental Vampires are burdened with unresolved guilt from their human lives which they seek to atone for.",6.78889,45
Kindred of the Ebony Kingdom,"WW2441: Kindred of the Ebony Kingdom

A sourcebook for the Vampire: The Masquerade RPG.

GM's guide to vampires in modern Africa. Praised for its depths of hopelessness.",5.66667,6
Knights and Magick,,,
Knights of the Round Table,"User summary:

Knights of the Round Table is an early RPG using miniatures, set in the world of &quot;Le Morte d'Arthur,&quot; which can be used to fight stand-alone melees, or to play extended campaigns.

Included:


        rules for 1 on 1 melees and jousts that involves choosing cards representing various attacks or defenses. Percentage dice are used to determine combat results, your chance to hit being determined by your and your opponent's choice of card. The severity of the result is determined by the amount which your roll exceeds the base chance to hit



        simplified rules for combats involving multiple combatants



        rules for limited campaigns(lasting a few hours) and for longer campaigns of perhaps indefinite length. The extended (&quot;full&quot;) campaign includes rules for warfare and conquest and enable players to play enchanters as well as knights. There are encounter tables and many rules designed to capture the flavor of the Arthurian mythos.",0,0
Kobolds Ate My Baby!,"From publisher blurb:

The Classic Game of Beer and Pretzels RolePlaying!

For kobolds In the service of King Torg (ALL HAIL KING TORG!) their life will undoubtedly be silly, brutal, and short.  They may be crushed by cows falling from the sky. They may be obliterated by meteorites, betrayed by friends, or brained by frying pans. They may cheerily march to their death upon the beaks of chickens or from the tentacles of eldritch magicks. If they are really lucky, they may survive long enough to bring back a tasty treat to the Kobold Caves and avoid becoming lunch themselves.

In KOBOLDS ATE MY BABY! you are a KOBOLD! 
Being cannon fodder has never been this much fun!

The classic game of Beer and Pretzels Roleplaying returns in this definitive, full colour edition. This book includes everything you need to play except some dice, some friends, and a wicked sense of humour.

Microbadges -",7.36364,11
Koriko: A Magical Year,"Publisher's blurb:

A tarot-driven story game of novice witches, urban exploration and teenage drama for solo &amp; shared-world play.",9.66667,3
Krysztaly Czasu,"User Summary:

A Polish RPG published first through many issues of Magia i Miecz magazine, later as a softcover book, both by MAG publishing.
Every version of this item is really hard to get now, but there is much material collected by fans to download from the internet.",6,2
Kult,"Death is Only the Beginning...

The rattle of chains and a nauseating stench led me along more corridors, all with walls of dull grey glazed tiles. Flickering glass tubes gave a yellowish white light. My bare feet slipped in oil and blood on the floor. Cockroaches crawled in cracks between the wall tiles. Far away, someone screamed in agony...

Kult is a contemporary horror role-playing game. It takes place here and now, in the reality of today. But reality is not what we think. Around us the world is dark and dangerous and nothing is what it seems to be.
Our reality is an illusion, created to keep us captive. We are imprisoned since ages past by a dictatorial creator. The true world, invisible to us, is ruled by creatures who dominate behind the false facades, our prison wardens and torturers.
The characters in Kult are dark heroes, governed by Destiny. When the illusions shatter, they face the true reality.

On the Borderlands between Terror and Madness, Dreams and Death...",7.575,78
Labyrinth Lord,"The core rule book for the Labyrinth Lord game.
Labyrinth Lord is a retro clone game, using the OGL to create a ruleset that's compatible with the Moldvay/Cook B/X version of Dungeons and Dragons.

From the back of the book:
&quot;Enter a world filled with labyrinths, magic, and monsters! You can take the role of a cleric, dwarf, elf, fighter, halfling, magic-user, or thief on your quest for glory, treasure, and adventure! This is a complete role playing game. All you need are a few sheets of paper and some dice. Welcome back to a simpler old-school gaming experience. The Labyrinth Lord awaits your arrival. Can you survive the dangers of the labyrinth?&quot;",7.68255,106
